pl_name,pl_rade,pl_bmasse,pl_orbper,pl_eqt,st_teff,st_mass,st_rad,st_met,pl_eqt_normalized,st_met_normalized,surface_gravity,surface_gravity_normalized,Habitability Score,Terraformability Score
LkCa 15 c,5.736252784918595,376.98237392722274,,912.5307146386988,4194.0,,1.61,0.26,0.0,1.3643308177826747,11.4568303401801,0.4325826721372975,88.33,61.16
MXB 1658-298 b,12.0,7532.571,760.0,912.5307146386988,5412.3924897449615,1.98,,0.014262971257932,0.0,-3.3709117781417086e-16,52.30952083333333,2.7884067009083897,79.38,124.22
MOA-2016-BLG-319L b,14.1,200.0,,912.5307146386988,5412.3924897449615,0.15,,0.014262971257932,0.0,-3.3709117781417086e-16,1.005985614405714,-0.17007900886168636,78.56,46.11
MOA-2011-BLG-291L b,4.43,18.0,,912.5307146386988,5412.3924897449615,0.15,,0.014262971257932,0.0,-3.3709117781417086e-16,0.9172021258707052,-0.17519882528317643,73.98,42.06
HIP 91258 b,13.7,346.4347,5.0505,912.5307146386988,5519.0,0.97,0.89,0.23,0.0,1.1977709601047284,1.845781341573872,-0.12165108576923757,90.91,49.32
BD+15 2375 b,13.8,337.21763,153.22,912.5307146386988,4649.0,1.08,8.95,-0.22,0.0,-1.3006269050644663,1.7707289960092414,-0.1259790778050723,65.85,61.87
HD 111232 c,12.2,5740.93452,26472.44623,912.5307146386988,5494.0,0.96,0.9,-0.36,0.0,-2.0779062408948827,38.57118059661382,1.9961672754409083,60.81,106.01
EPIC 206042996 b,1.7,3.53,5.2986,912.5307146386988,4114.0,0.57,0.5,0.006,0.0,-0.0458759772239375,1.221453287197232,-0.15765378264382643,49.2,18.17
CoRoT-21 b,14.572,718.2958,2.72474,912.5307146386988,6200.0,1.29,1.95,0.0,0.0,-0.07918794875952677,3.3827118274726447,-0.033021971614859355,77.94,48.25
HD 14787 b,13.7,356.28743,676.6,912.5307146386988,4946.0,1.43,5.01,0.0,0.0,-0.07918794875952677,1.898276040279184,-0.11862391005326363,78.23,65.57
NGC 2682 YBP 1514 b,14.0,127.132,5.118,912.5307146386988,5725.0,0.96,0.89,0.03,0.0,0.08737190891841955,0.6486326530612245,-0.190686236511208,79.47,49.92
GJ 1148 c,9.71,68.06,532.58,912.5307146386988,3287.0,0.34,0.36,0.16,0.0,0.8091312921895204,0.7218608439811165,-0.1864634367477155,86.58,50.34
EPIC 229004835 b,2.332,10.4,16.141132,804.0,5868.0,0.97,1.0,-0.12,-0.2719904299846403,-0.745427379471312,1.9123890446586975,-0.11781006512814218,50.25,32.01
TOI-431 c,1.49,2.83,4.8494,867.0,4850.0,0.78,0.73,0.2,-0.114105197715817,1.0312111024267823,1.2747173550740958,-0.15458224024454575,57.2,16.96
CoRoT-26 b,14.12,165.26,4.20474,1600.0,5590.0,1.09,1.79,0.01,1.7228769491579525,-0.023667996200211323,0.8288927766052212,-0.18029129984123848,79.87,40.02
K2-281 b,8.18,50.9,8.687721,665.0,4812.0,0.82,0.76,0.22,-0.6203403868952186,1.142251007545413,0.76069607427024,-0.18422395221013507,87.81,41.58
HAT-P-44 c,13.0,1271.3,872.2,912.5307146386988,5295.0,0.94,0.95,0.33,0.0,1.7529704856978827,7.522485207100591,0.20570349502310734,96.21,67.39
K2-32 b,5.299,15.0,8.992,837.0,5271.0,0.83,0.86,-0.06,-0.1892886416533519,-0.4123076641154194,0.5341994296815661,-0.19728517856553146,71.95,36.82
Kepler-718 b,16.56,376.98237392722274,2.0523499,1497.0,6191.0,1.18,1.3,0.06,1.464747124972416,0.25393176659636585,1.3746760934007458,-0.14881798837293328,82.17,41.0
K2-98 b,5.066,34.00764,10.1367349,1185.0,6095.0,1.2,1.57,-0.044,0.6828393080220531,-0.3234757400205147,1.3250922797361449,-0.15167730408161967,74.12,40.98
K2-226 b,1.539,2.98,3.27109,1187.0,5424.0,0.89,0.91,-0.05,0.6878515376178886,-0.356787711556104,1.2581691274850424,-0.15553651551301062,45.29,16.98
K2-371 b,13.024,376.98237392722274,3.114905,956.833970301,4952.0,0.96,0.74,-0.107,0.11102904461123003,-0.673251441144202,2.222451385389006,-0.09992991319954665,72.27,42.1
KELT-3 b,17.486,616.5902,2.70339,1816.0,6304.0,1.28,1.47,0.05,2.264197745508204,0.19841181403705044,2.016580994080733,-0.11180169958134738,81.82,41.9
HATS-65 b,16.825,260.93843,3.105161,1634.0,6277.0,1.26,1.31,0.199,1.8080848522871589,1.0256591071708505,0.9217813123028112,-0.1749347604860051,90.03,40.14
K2-317 b,2.93,8.91,6.22,432.0,3387.0,0.4,0.38,0.014262971257932,-1.2042651348100732,-3.3709117781417086e-16,1.0378688161772414,-0.1682404221752083,60.31,29.51
HD 92788 b,13.0,1195.0408,325.803,912.5307146386988,5744.0,1.15,1.14,0.27,0.0,1.41985077034199,7.071247337278106,0.17968227087393035,92.98,72.8
K2-243 b,2.17,5.35,11.54182,1035.0,6570.0,1.29,1.39,-0.03,0.3069220883343785,-0.2457478064374731,1.136146446091444,-0.16257311362716162,53.92,22.08
TOI-4087 b,13.047,232.01474,3.1774835,1458.0,6060.0,1.18,1.11,0.237,1.3670086478536208,1.236634926896249,1.3629949662447836,-0.14949159590538597,92.08,41.0
TOI-1443 b,2.304,30.0,23.540678,520.656878979,5224.0,0.77,0.75,-0.294,-0.9820808184635911,-1.7114745540034006,5.651403356481482,0.09780510374763583,40.34,46.87
HAT-P-2 b,10.66,2866.81223,5.6335158,1540.0,6380.0,1.33,1.39,0.18,1.5725100612828828,0.9201711973081512,25.22811715694729,1.2267220053955565,88.56,68.42
K2-351 b,2.54,6.99,7.806164,934.0,5769.0,1.02,1.05,0.08,0.053804493744677634,0.3649716717149967,1.0834521669043338,-0.16561179841362808,64.07,25.04
TOI-1386 c,10.3,75.2,232.0,327.4,5735.0,1.04,1.02,0.149,-1.4664047426722782,0.7480593443742733,0.7088321236685832,-0.18721475500866452,80.34,61.58
Kepler-1517 b,9.76,68.7,5.54608367,2336.0,7010.0,1.58,1.95,0.01,3.5673774404254757,-0.023667996200211323,0.7212022977694169,-0.18650141267955378,79.78,40.01
WASP-177 b,17.71,161.45764,3.071722,1142.0,5017.0,0.88,0.89,0.25,0.5750763717115863,1.3088108652233592,0.5147797774611415,-0.19840503830497558,92.6,40.26
KELT-19 A b,21.409,1293.5681,4.6117093,1935.0,7500.0,1.62,1.83,-0.12,2.5624254064604255,-0.745427379471312,2.82225683043522,-0.06534134478532115,72.17,42.96
K2-225 b,3.609,12.7,15.8723,923.0,5742.0,1.27,1.7,0.486,0.026237230967581498,2.6190817456232036,0.9750568930341856,-0.17186255418285498,93.64,34.58
CoRoT-10 b,10.87,874.0,13.2406,600.0,4921.0,0.9,0.79,0.26,-0.7832378487598777,1.3643308177826747,7.39694423262628,0.1984640099196357,90.17,51.12
bet Cnc b,12.6,2479.0,605.2,912.5307146386988,4092.1,1.7,47.2,-0.29,0.0,-1.6892665729796745,15.614764424288234,0.6723553996405188,61.94,82.84
mu Leo b,13.3,762.8,357.8,912.5307146386988,4538.2,1.5,11.4,0.36,0.0,1.9195303433758288,4.312284470574933,0.020583055194223064,97.88,69.46
HD 30562 b,13.6,467.20776,1157.0,912.5307146386988,5882.0,1.12,1.61,0.2,0.0,1.0312111024267823,2.525993512110727,-0.08242575797150464,89.12,55.03
HD 125271 b,12.4,3465.60095,14901.99295,912.5307146386988,4703.93,0.75,0.75,-0.22,0.0,-1.3006269050644663,22.53902803069719,1.071652150689444,65.83,90.24
HD 111591 b,12.9,1398.452,1056.4,912.5307146386988,4884.0,1.94,8.03,0.07,0.0,0.3094517191556813,8.40365362658494,0.256517228732112,81.87,75.1
HD 109988 b,12.1,6935.33367,17132.15854,912.5307146386988,5185.97,0.88,0.87,0.14,0.0,0.6980913870708896,47.36926214056417,2.503520197809618,86.52,118.01
TOI-1669 b,14.1,191.0,500.0,912.5307146386988,5497.0,0.99,1.06,0.274,0.0,1.4420587513657164,0.9607162617574568,-0.17268952551183334,93.1,59.78
NGTS-23 b,14.202,194.82881,4.0764326,1327.0,6057.0,1.01,1.24,-0.26,1.038707609326385,-1.5227067153017284,0.9659489200433736,-0.172387777402333,63.91,40.47
TOI-3071 b,7.16,68.2,1.266938,2155.0,6177.0,1.29,1.31,0.35,3.113770662002348,1.8640103908165133,1.3303267688274398,-0.1513754503963237,97.51,40.96
TOI-3261 b,3.82,30.3,0.8831331,1722.0,5068.0,0.86,0.85,0.138,2.028622954503928,0.6869873965590264,2.076423343658343,-0.1083508119318135,80.49,41.17
TOI-3331 A b,12.98,721.47048,2.0180231,1488.0,5609.0,1.02,0.95,0.148,1.4421920917911555,0.7425073491183418,4.282222027013231,0.018849464920209114,87.08,44.11
Teegarden's Star d,0.954,0.82,26.13,159.0,3034.0,0.1,0.12,-0.11,-1.8884344746416408,-0.6899074269119966,0.900984050384786,-0.17613406189718978,26.07,14.14
Kepler-526 b,1.99,4.62,5.45849832,1099.0,5894.0,1.15,1.14,0.34,0.46731343540111964,1.8084904382571982,1.1666372061311585,-0.1608148239211485,71.32,20.13
